Asset ID,Parent Asset ID,Asset Description,Asset Number
81332,1441,PRECOAT PUMP,130-PC-032 A
214357,1441,PRECOAT PUMP,130-PC-032 A
223866,9685,TURNING GEAR,173-XP-001A-XX-30
5711,78366,DEMINERALIZED WATER DOSING PUMPS,145-PR-009 A
5712,78366,DEMINERALIZED WATER DOSING PUMPS,145-PR-009 B
94762,78366,Hoist crane,145-XF-040A-F
220005,78371,LLF on Analysers and Sampling System for PM-1532,LLF on Analysers and Sampling System
220006,78371,LLF for Analysers department,LLF inspections U&O-Analyser
220029,78371,LLF inspection U&O-STAT,LLF inspection U&O-STAT
220030,78371,LLF inspection U&O-Rota,LLF inspection U&O-Rota
220031,78371,LLF inspection U&O-Elec,LLF inspection U&O-Elec
220032,78371,LLF inspection U&O-INS,LLF inspection U&O-INS
221008,78387,AHU-2 6 month's PM for Contractor (Contains 35 Equipment. Find in the Document section.),AHU-2
222643,78387,ANALYZER CABINET AIR CONDITIONER(for 6 months: includes -32 equipment.),ACAC
222659,78387,ANALYZERS SHELTER AIR CONDITIONER,ASAC
222660,78387,AXIAL FAN,AF
222661,78387,BLAST PROTACTION DAMPER,BPD
222662,78387,CHEMICAL FILTER UNIT,CFU
222663,78387,CLOSE CONTROL UNIT,CCU
222681,78387,COMPRESSOR-RECEIVER UNIT WITH REMOVABLE CONDENSER,CUWRC
222682,78387,CONSTANT AIR VOLUME UNIT,CTN-CAV
222683,78387,DIFFERENTIAL HIGH/LOW PRESSURE SWITCH ,PDSH and PDSL
222684,78387,ELECTRICAL DUCT HEATER,EDH
222685,78387,EXHAUST FAN,EFN
222686,78387,EXHAUST VENTILATION,EV
222687,78387,EXHAUST VENTILATION EMERGENCY,EVE
222688,78387,EXPANSION TANK,ET
222689,78387,FIRE DAMPER ELECTRICAL ACTUATOR,FD
222690,78387,HEAT EXCHANGER,HE
222691,78387,HOT WATER DUCT HEATER,HDC
222692,78387,HOT WATER GENERATOR,HWG
222693,78387,HOT WATER PUMP,HWP
222694,78387,HOT WATER UNIT HEATER,HUH
222695,78387,HUMIDIFIER,HMD
222696,78387,HVAC CONTROL PANEL,HCP
222697,78387,HVAC INDOOR UNIT,HVAC UNIT
223189,78387,Campus( вахтовая поселка 1),CAMP1
223190,78387,Campus(вахтовая поселка 2),CAMP2
223191,78387,MOISTURE TRANSMITTER,MT
223192,78387,MOTORISED FIRE DAMPER,MFD
223193,78387,MOTORIZED DAMPER,MD
224064,78387,AHU-2 of HVAC System (for 2 months: includes - 39 equipment.),AHU-21
99566,79974,Buildings in PWU areas,PWU buildings 
214358,79974,Buildings in PWU areas,PWU buildings 
80774,80781,Corrosion Inhibitor Storage Pump,174-XP-002-PD-01 B
214351,80781,Corrosion Inhibitor Storage Pump,174-XP-002-PD-01 B
80778,80783,Anti Scale Dispersant Dosing Pump,174-XP-002-PD-03 B
214352,80783,Anti Scale Dispersant Dosing Pump,174-XP-002-PD-03 B
80779,80784,Oxidant Biocide Dosing Pump,174-XP-002-PD-04 A
214353,80784,Oxidant Biocide Dosing Pump,174-XP-002-PD-04 A
80986,80962,WASH WATER PUMPS,135-PC-002 A
214354,80962,WASH WATER PUMPS,135-PC-002 A
80992,80971,HER STEAM CONDENSATE PUMPS,135-PC-008 A
214356,80971,HER STEAM CONDENSATE PUMPS,135-PC-008 A
80990,80973,CO2 STRIPPER BOTTOMS PUMPS,135-PC-007 A
214355,80973,CO2 STRIPPER BOTTOMS PUMPS,135-PC-007 A
93267,93232,MALEIC ACID DOSING PUMPS,145-PR-008 A
93268,93232,MALEIC ACID DOSING PUMPS,145-PR-008 B
172646,172762,TBD,B04-PDP-05-02-02B-8R
