UOMID,UOMDescription
1,Box
2,Each
3,Kit
4,Length
5,Litre
23,M3
7,Package
8,Set
9,LOT
10,Meter sq.
11,Ton
12,Meter
13,Bag
14,Bottle
15,Pair
16,Decalitre
17,Kg
18,Roll
19,Pack
20,Litr
21,Meter cub.
22,бал
24,Tonn
25,бут
26, Each
27,Can
28,м²
29,к-т
30,метр
31,меш
32,мешок
33,кор
34,Metre
35,Balloon
36,shoulder 
37,shoul-str
38,runn-metr
39,Centimeter
40,drum
41,pcs.
42,Dona
43,hour
44,m2
45,m
46,EA / шт.
47,PCE
50,Tonna
51,Пачка
53,Liter
54,To'plam
55,комплект
56,м
57,шт
127, Meter
128,O'ram
48,PCS
49,дона
52,Metir
58,0.68
59,0.99
60,1
61,1.01
62,1.25
63,1.3
64,1.34
65,1.5
66,1.84
67,1.86
68,1.95
69,10.14
70,10.86
71,12.04
72,12.29
73,13.39
74,14
75,14.48
76,14.88
77,17.06
78,17.41
79,18.68
80,2.16
81,2.29
82,2.41
83,2.55
84,2.63
85,2.64
86,2.89
87,2.9
88,20.6
89,21.21
90,22.5
91,23.39
92,25.14
93,3.09
94,3.1
95,3.11
96,3.26
97,3.33
98,3.66
99,3.83
100,3.84
101,3.95
102,31.58
103,32.15
104,36.54
105,37.19
106,39.56
107,4.17
108,4.35
109,4.49
110,4.59
111,5.13
112,5.21
113,5.55
114,5.99
115,54.65
116,55.33
117,6.15
118,6.43
119,6.84
120,7.05
121,7.21
122,8.1
123,8.24
124,8.53
125,9.65
126,9.98
