Work Order Component ID,Job Code Major ID,Work Order Component Description,Account Code ID,Job Type ID
2,1,"AIR CONDITION, HEAT - ADD REFRIGERANT",10,1
3,71,Instrument Spares,18043,3
4,68,Maintenance Rotating Services,18040,5
5,71,Instrument Spares,10,3
6,1,"AIR CONDITION, HEAT",18037,
7,3,"INSTRUMENTS, GAUGES",18039,
8,1,"AIR CONDITION, HEAT - ADD REFRIGERANT",3,3
9,2,CAB/SHEET METALS - ADJUST DOOR LOCK,4,3
10,3,"INSTRUMENTS, GAUGES - ADJUST WARNG BUZ",5,3
11,4,AERODYNAMIC DEVICES,6,3
12,64,Maintenance Scaffolding,18036,3
13,65,Maintenance Insulation,18037,3
14,66,Maintenance Welding,18038,3
15,67,NDE & Inspection Services,18039,3
16,71,Instrument Spares,18043,3
17,77,Equipment Hiring Services,18049,3
18,78,Mechanical Static spares,18050,3
19,89,Vehicle Maintenance,18061,8
20,87,Maintenance Additional Spares,18059,3
21,71,Instrument Spares,18043,3
22,70,Control System Spares,18042,7
23,68,Maintenance Rotating Services,18040,3
24,73,Mechanical Rotating Spares,18045,8
25,68,Maintenance Rotating Services,18040,8
26,68,Maintenance Rotating Services,18040,3
27,78,Mechanical Static spares,18050,3
28,68,Maintenance Rotating Services,18040,
29,65,Maintenance Insulation,18037,3
30,76,Mechanical Services,18048,3
31,64,Maintenance Scaffolding,18036,3
32,76,Mechanical Services,18048,3
33,79,Instrumentation Services,18051,3
34,79,Instrumentation Services,18051,3
35,80,Maintenance Civil Services,18052,3
36,76,Mechanical Services,10,5
37,78,Mechanical Static spares,18050,5
38,68,Maintenance Rotating Services,18054,3
39,65,Maintenance Insulation,18037,3
40,76,Mechanical Services,18054,3
41,66,Maintenance Welding,18038,3
42,65,Maintenance Insulation,18037,3
43,76,Mechanical Services,18046,3
44,65,Maintenance Insulation,18037,
45,68,Maintenance Rotating Services,18040,3
46,79,Instrumentation Services,18051,3
49,66,Maintenance Welding,18038,3
50,65,Maintenance Insulation,18037,5
51,64,Maintenance Scaffolding,18036,5
52,65,Maintenance Insulation,18037,3
53,79,Instrumentation Services,18051,3
54,78,Mechanical Static spares,18050,3
55,76,Mechanical Services,18048,3
56,79,Instrumentation Services,18051,3
57,79,Instrumentation Services,18051,3
58,79,Instrumentation Services,18051,3
59,79,Instrumentation Services,18051,3
60,79,Instrumentation Services,18051,3
61,79,Instrumentation Services,18051,3
62,79,Instrumentation Services,18051,3
63,76,Mechanical Services,18048,3
64,79,Instrumentation Services,18036,5
65,76,Mechanical Services,18048,3
66,76,Mechanical Services,18048,3
67,68,Maintenance Rotating Services,18040,3
68,79,Instrumentation Services,18051,
69,76,Mechanical Services,18048,3
70,66,Maintenance Welding,18038,3
71,68,Maintenance Rotating Services,18040,3
72,68,Maintenance Rotating Services,18040,3
73,68,Maintenance Rotating Services,18040,3
74,76,Mechanical Services,18048,
75,68,Maintenance Rotating Services,18040,3
76,76,Mechanical Services,,5
77,79,Instrumentation Services,18051,3
78,75,Electrical Services,18047,
79,65,Maintenance Insulation,18037,
80,66,Maintenance Welding,18038,
81,76,Mechanical Services,18048,
82,76,Mechanical Services,18048,
83,76,Mechanical Services,18048,
84,68,Maintenance Rotating Services,18040,3
86,68,Maintenance Rotating Services,18040,3
87,68,Maintenance Rotating Services,18040,3
88,68,Maintenance Rotating Services,18040,3
89,68,Maintenance Rotating Services,18040,3
90,68,Maintenance Rotating Services,18054,3
91,76,Mechanical Services,18048,3
92,64,Maintenance Scaffolding,18036,5
93,80,Maintenance Civil Services,18052,3
95,76,Mechanical Services,18048,3
96,64,Maintenance Scaffolding,18036,5
97,76,Mechanical Services,18048,3
98,80,Maintenance Civil Services,18052,3
99,79,Instrumentation Services,18051,3
100,76,Mechanical Services,18048,3
101,76,Mechanical Services,18048,
102,66,Maintenance Welding,18038,
103,68,Maintenance Rotating Services,18040,3
104,68,Maintenance Rotating Services,18040,3
105,70,Control System Spares,18043,
106,75,Electrical Services,18047,4
107,75,Electrical Services,18047,4
108,76,Mechanical Services,18048,3
109,65,Maintenance Insulation,18037,
110,64,Maintenance Scaffolding,18036,
111,76,Mechanical Services,18048,
112,76,Mechanical Services,18048,
113,76,Mechanical Services,10,
114,75,Electrical Services,18047,7
115,79,Instrumentation Services,18047,3
116,79,Instrumentation Services,18051,3
117,79,Instrumentation Services,18051,3
118,64,Maintenance Scaffolding,18036,3
119,65,Maintenance Insulation,18037,3
120,66,Maintenance Welding,18038,3
121,76,Mechanical Services,18048,3
122,75,Electrical Services,18047,3
123,79,Instrumentation Services,18051,3
124,76,Mechanical Services,18048,3
125,78,Mechanical Static spares,18050,
126,65,Maintenance Insulation,18037,3
130,64,Maintenance Scaffolding,18036,3
131,78,Mechanical Static spares,18050,
132,76,Mechanical Services,18048,
133,79,Instrumentation Services,18051,3
134,79,Instrumentation Services,18051,3
135,79,Instrumentation Services,18051,3
136,76,Mechanical Services,18048,3
137,79,Instrumentation Services,18051,3
138,79,Instrumentation Services,18051,3
139,79,Instrumentation Services,18051,3
140,79,Instrumentation Services,18051,3
141,79,Instrumentation Services,18051,3
142,79,Instrumentation Services,18048,4
143,76,Mechanical Services,18048,3
144,82,Maintenance Additional Services,18059,
145,87,Maintenance Additional Spares,18059,
146,68,Maintenance Rotating Services,18040,3
147,82,Maintenance Additional Services,,
148,82,Maintenance Additional Services,,5
150,75,Electrical Services,18047,3
151,75,Electrical Services,18047,3
152,64,Maintenance Scaffolding,,5
153,65,Maintenance Insulation,,5
154,76,Mechanical Services,,5
155,68,Maintenance Rotating Services,18040,3
156,66,fabricating  gate made from profile,18038,4
157,76,Mechanical Services,18048,3
158,75,Electrical Services,18047,3
159,64,Maintenance Scaffolding,,
160,75,Electrical Services,,
161,76,Mechanical Services,,
162,78,Mechanical Static spares,,
163,65,Maintenance Insulation,,
164,76,Mechanical Services,18048,3
165,76,Mechanical Services,18050,3
166,75,Electrical Services,18047,3
167,66,Maintenance Welding,18054,
168,65,Maintenance Insulation,,
169,82,Maintenance Additional Services,18054,
