Contact ID,Parent Contact ID,First Name,Last Name,Comment,Department ID,Address1,Address2,City,State,Post Code,Country,Home Phone,Work Phone,Mobile Phone,Fax,Email,Web Address,Is Primary Contact,ABN,Currency Type ID,Tax ID,Tax Exemption Number,Is Tax Exempt,Account Code ID,Payment Term ID,Customer Discount Percentage,Catalogued Mark Up Ceiling,Non Catalogued Mark Up Ceiling,Catalogued Markup Percentage,Non Catalogued Mark Up Percentage,Employee Number,Working Day Hours,Employed Date Time,Terminated Date Time,Expected Freight Price,Customer Type ID,Contact Image,Contact Type Name,Is Active,Created By Contact ID,Created Date Time,Modified By Contact ID,Modified Date Time,Billing Address1,Billing Address2,Billing City,Billing State,Billing Country,Billing Post Code,Added Date Time,IRDNumber,Contact Signature,Custom Control File1ID
1,0,Administrator,Admin,,,,,,,,,,,,,,,,,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Unassigned,,1,20/08/2007 3:02:18 PM,1,20/08/2007 3:02:18 PM,,,,,,,21/02/2022 1:00:54 PM,,,
591,0,Gulmurod,Kurbanov,,9,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,998977285940,,Gulmurod.Kurbanov@uzgtl.com,,,Registration No. 008600-04,1,,,,7,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 11:33:03 AM,1460,4/10/2023 3:57:49 PM,,,,,,,15/03/2022 11:33:03 AM,,,
592,0,Baxtiyor,Komolov,,50,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,,,,,,,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:26 PM,1465,14/10/2022 11:58:38 AM,,,,,,,14/10/2022 4:27:26 PM,,,
593,0,Nurbekjon,Jovliyev ,,50,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,,,Nurbekjon.Jovliev@uzgtl.com,,,,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:26 PM,1460,5/06/2023 4:58:49 PM,,,,,,,13/10/2022 11:59:00 PM,,,
594,0,Islom,Abdizoirov Abduraxmonovich,,53,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,998993352429,,islom.abdizoirov@uzgtl.com,,,Registration No. 008600-15,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:26 PM,1687,11/10/2023 9:31:50 AM,,,,,,,15/03/2022 4:27:26 PM,,,
595,0,Shuxrat,Mamarajabov,,64,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,,,shukhrat.mamarajabov@uzgtl.com,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:26 PM,1460,29/12/2022 9:34:37 AM,,,,,,,15/03/2022 4:27:26 PM,,,
596,0,Abdullokh,Abdurakhmonov,,,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,13312,,,abdullokh.abdurakhmonov@uzgtl.com,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:26 PM,1,15/03/2022 4:27:26 PM,,,,,,,15/03/2022 4:27:26 PM,,,
597,0,Rashidov,Abduvoris,,,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,,,,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:26 PM,1,15/03/2022 4:27:26 PM,,,,,,,15/03/2022 4:27:26 PM,,,
598,0,Ulugbek,Aglaev,,,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,13305,,,ulugbek.aglaev@uzgtl.com,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:26 PM,1,15/03/2022 4:27:26 PM,,,,,,,15/03/2022 4:27:26 PM,,,
599,0,Abdigoppar,Abdixalilov,,75,"Tashkent, Yashnabad district, 100060, Fargona yuli street, 7-b","Kashkadarya, Guzar district, GTL Site",,Tashkent and Kashkadarya,,Uzbekistan,,,,,Abdigoppar.Abdikhaliliov@uzgtl.com,,,Registration No. 008600-03,,,,,,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,,0.0000000,,,0.0000000,,,Trade,,1,15/03/2022 4:27:26 PM,1460,27/02/2023 9:00:06 AM,,,,,,,15/03/2022 4:27:26 PM,,,
