Preventative Maintenance ID,Preventative Maintenance Number,Preventative Maintenance Description,Preventative Maintenance Instruction,Preventative Maintenance Safety Note,Frequency Type ID,Frequency,Frequency Type Or ID,Frequency Or,Is Hierarchy,Is Triggered,Is Fixed,Is Standard,Lead Time Days,Asset Type ID,Manufacturer ID,Model Number ID,Priority ID,Estimated Duration Hours,Job Type ID,Department ID,Customer Contact ID,Supplier Contact ID,Is Inspection,Is Inspection Enforce Order On,Is Inspection By Asset Type,User Defined Text Box,Component Code ID,Estimated Labour Cost,Estimated Material Cost,Estimated Other Cost,Is Active,Created By Contact ID,Created Date Time,Modified By Contact ID,Modified Date Time,Default Inspection Asset ID,Is Group Inspection,Parent Preventative Maintenance ID,Inspection Height,Inspection Width,Inspection XLocation,Inspection YLocation,Is Use Asset Contractor,Minute Difference,Is Master PM,Master PMID,Work Order Format Name,Contractor Quote Amount,In Active To,Days To Complete,Activation Type,Is Audit,Is Include Children Of Inspection Asset Only
141,1, Earth Brush 1 yearly preventive maintenance inspection ,,,9,1.0000000,,0.0000000,,,,,2,,,,3,2.0000000,5,12,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1461,25/07/2023 11:45:47 AM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
142,343,"Predective or priventive maitenance when overheating, component failure or insufficient on the MV motor bearing",,,9,1.0000000,,0.0000000,,,,,0,,,,3,0.0000000,5,16,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1452,3/01/2023 2:51:27 PM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
143,342,General maintenance overhaul when internal component failure,,,9,2.0000000,,0.0000000,,,,,0,,,,3,0.0000000,5,16,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1452,3/01/2023 2:58:38 PM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
144,341,Peventive maintenance inspection of hazardous gas entry to the  MV motor  (where applicable),,,9,1.0000000,,0.0000000,,,,,0,,,,3,0.0000000,5,16,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1452,3/01/2023 2:47:25 PM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
145,340,MV motor 1 yearly peventive maintenance inspection,,,9,1.0000000,,0.0000000,,,,,5,,,,3,18.0000000,5,16,,,,,,,,79.6799999,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,17/04/2023 9:28:46 AM,,,0,,,,,,510,,0,Standard,0.0000000,,0,every,,
146,339,MV motor 6 monthly peventive maintenance inspection,MERGED WITH INSPECTION AS 6 MONTH,,4,6.0000000,,0.0000000,,,,,5,,,,3,0.0000000,5,16,,,,,,,,55.1400000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,29/07/2023 10:29:20 AM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
147,338,MV motor 1 monthly peventive maintenance LLF,compare vibration with motor datasheet drawing,Use proper PPE,4,1.0000000,,0.0000000,,,,,0,,,,3,1.0000000,8,16,,,,,,,,10.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,25/02/2023 1:25:27 PM,,,0,,,,,,510,,0,Standard,0.0000000,,10,every,,
148,337,Preventive maintenance of the transformer power cable,,,9,2.0000000,,0.0000000,,,,,5,,,,3,160.0000000,5,16,,,,,,,,85.9600000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,11/03/2023 2:13:47 PM,,,0,,,,,,510,,0,Standard,0.0000000,,30,every,,
149,336,Transformer 6 monthly inspection,,,4,6.0000000,,0.0000000,,,,,3,,,,3,60.0000000,5,16,,,,,,,,33.0800000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,11/03/2023 9:39:29 AM,,,0,,,,,,510,,0,Standard,0.0000000,,30,every,,
150,335,Transformer 1 yearly inspection,PTW should be achieved,Use proper PPEMake sure that the transformer isolated properly.,9,1.0000000,,0.0000000,,,,,3,,,,3,20.0000000,5,16,,,,,,,,190.9600000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,22/06/2023 3:15:19 PM,,,0,,,,,,510,,0,Standard,0.0000000,,10,every,,
151,333,Transformer  monthly preventive maintenance inspection,removed according to MOC,,4,1.0000000,,0.0000000,,,,,2,,,,3,2.0000000,5,68,,,,,,,,10.1700000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,29/07/2023 10:14:56 AM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
152,332,Protection relay of MV switchgear 1 yearly preventive maintenance inspection,PTW should be acheieved,Use proper PPE,9,1.0000000,,0.0000000,,,,,5,,,,3,4.0000000,5,16,,,,,,,,45.3600000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,17/04/2023 9:40:22 AM,,,0,,,,,,510,,0,Standard,0.0000000,,0,every,,
153,331,MV switchgear 1 yearly preventive maintenance inspection,PTW should be achieved,Use proper PPE,9,1.0000000,,0.0000000,,,,,5,,,,3,0.0000000,5,16,,,,,,,,39.8399999,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,17/04/2023 9:42:50 AM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
154,330,Switchgear (inludes VSD & Soft Starter) daily preventive maintenance LLF (month),,Use proper PPE,,0.0000000,,0.0000000,,,,,0,,,,3,1.0000000,8,68,,,,,,,,3.1100000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,28/02/2023 3:04:12 PM,,,0,,,,,,510,,0,Standard,0.0000000,,30,every,,
155,329,LV VSD and Soft starter 1 yearly preventive maintenance inspection,PTW should be achieved,Use proper PPE,9,1.0000000,,0.0000000,,,,,3,,,,3,0.0000000,5,16,,,,,,,,30.5099999,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,17/04/2023 9:52:17 AM,,,0,,,,,,510,,0,Standard,0.0000000,,0,every,,
156,328,LV VSD and Soft starter Monthly preventive maintenance LLF,removed according to MOC,,4,1.0000000,,0.0000000,,,,,3,,,,3,0.5000000,8,68,,,,,,,,3.5300000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,29/07/2023 10:13:03 AM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
157,327,Protection relay of LV switchgear 1 yearly preventive maintenance inspection,PTW SHOULD BE ACHIEVED BY SWGR SECTION,Use proper PPE,9,1.0000000,,0.0000000,,,,,5,,,,3,0.0000000,5,16,,,,,,,,30.5099999,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,17/04/2023 9:54:45 AM,,,0,,,,,,510,,0,Standard,0.0000000,,0,every,,
158,326,LV switchgear 1 yearly preventive maintenance inspection,PTW should be achievedWarn duty personnel before qorking on each  cubicle. ,Use proper PPEBe careful while working with electrical equipments. make sure that electrical permit group of each worker should match to this WO,9,1.0000000,,0.0000000,,,,,5,,,,3,4.0000000,5,16,,,,,,,,53.9199999,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,15/05/2023 9:06:35 AM,,,0,,,,,,510,,0,Standard,0.0000000,,10,every,,
159,325,LV switchgear daily preventive maintenance LLF,,,1,1.0000000,,0.0000000,,,,,0,,,,3,2.0000000,8,68,,,,,,,,6.2200000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,4/01/2023 11:36:13 AM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
160,324,Greasing activity of LV motor bearing 30000 hours replacement,,,3,30000.0000000,,0.0000000,,,,,0,,,,3,0.0000000,5,34,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1465,30/12/2022 3:34:28 PM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
161,344,Preventive maintenance of the motor power cable,PTW should be achievedGet premission from production before feeder shut down.,Use proper PPE,9,2.0000000,,0.0000000,,,,,0,,,,3,0.0000000,5,16,,,,,,,,28.2400000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,17/04/2023 10:09:17 AM,,,0,,,,,,510,,0,Standard,0.0000000,,0,every,,
162,317,Greasing activity of LV motor bearing 5900 hours replacement,,,3,5900.0000000,,0.0000000,,,,,0,,,,3,0.0000000,5,34,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1465,30/12/2022 3:34:37 PM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
163,347,Greasing activity of LV motor bearing 6 monthly replacement,,,4,6.0000000,,0.0000000,,,,,0,,,,3,0.0000000,5,34,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1465,30/12/2022 3:38:05 PM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
164,351,Lightning Protection 1 yearly predictive maintenance inspection ,PTW should be achieved,Use proper PPE,9,1.0000000,,0.0000000,,,,,2,,,,3,0.0000000,5,16,,,,,,,,362.8800000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,17/04/2023 10:12:49 AM,,,0,,,,,,510,,0,Standard,0.0000000,,0,every,,
165,372, Firepump Electrical Check 1 weekly preventive maintenance LLF ,,,8,1.0000000,,0.0000000,,,,,0,,,,3,0.0000000,8,68,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,4/01/2023 11:33:03 AM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
166,371, EPMS  preventive maintenance inspection ,,,1,1.0000000,,0.0000000,,,,,0,,,,3,0.0000000,5,20,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,4/01/2023 11:36:40 AM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
167,370,EPMS 1 yearly preventive maintenance inspection ,,use ppe,9,1.0000000,,0.0000000,,,,,30,,,,3,12.0000000,5,20,,,,,,,,60.4800000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1186,8/10/2023 4:25:51 PM,,,0,,,,,,570,,0,Standard,0.0000000,,30,every,,
168,369,EPMS 1 Monthly preventive maintenance inspection ,,Use PPE,4,1.0000000,,0.0000000,,,,,2,,,,3,4.0000000,5,20,,,,,,,,20.3400000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1186,7/07/2023 3:37:38 PM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
169,368, EPMS 1 weekly preventive maintenance LLF ,,,8,1.0000000,,0.0000000,,,,,0,,,,3,0.0000000,8,68,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,4/01/2023 11:32:57 AM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
170,367, Steam Turbine Generator 1 yearly preventive maintenance inspection ,,use ppe,9,1.0000000,,0.0000000,,,,,2,,,,3,30.0000000,5,20,,,,,,,,151.2000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1186,8/10/2023 4:03:42 PM,,,0,,,,,,570,,0,Standard,0.0000000,,30,every,,
171,366, Steam Turbine Generator 1 Monthly preventive maintenance  LLF,Transferred to Reliability team as a standard job,Use PPE,4,1.0000000,,0.0000000,,,,,1,,,,3,1.0000000,8,20,,,,,,,,10.1700000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,29/07/2023 9:34:40 AM,,,0,,,,,,570,,0,Standard,0.0000000,,0,every,,
172,365, Steam Turbine Generator 1 daily preventive maintenance  LLF,,,1,1.0000000,,0.0000000,,,,,0,,,,3,0.0000000,8,68,,,,,,,,0.0000000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1460,4/01/2023 11:36:21 AM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
173,364, Krane and Hoist 1 yearly preventive maintenance inspection ,,use ppe and folow all safety rules,9,1.0000000,,0.0000000,,,,,30,,,,3,6.0000000,5,20,,,,,,,,36.0300000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1186,8/10/2023 4:01:46 PM,,,0,,,,,,570,,0,Standard,0.0000000,,30,every,,
174,363, Krane and Hoist 6 Monthly preventive maintenance inspection ,,Use ppe,4,6.0000000,,0.0000000,,,,,10,,,,3,3.0000000,5,20,,,,,,,,22.3149999,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1186,8/10/2023 4:02:45 PM,,,0,,,,,,570,,0,Standard,0.0000000,,30,every,,
175,362,Electrical Heat Tracing  1 yearly preventive maintenance inspection ,,use ppe,9,1.0000000,,0.0000000,,,,,2,,,,3,8.0000000,5,20,,,,,,,,42.2500000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1186,8/10/2023 4:22:07 PM,,,0,,,,,,0,,0,Standard,0.0000000,,0,every,,
176,361,Electrical Heat Tracing    6 monthly preventive maintenance inspection ,,use ppe,4,6.0000000,,0.0000000,,,,,2,,,,3,2.0000000,5,20,,,,,,,,15.1200000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1186,8/10/2023 4:20:58 PM,,,0,,,,,,570,,0,Standard,0.0000000,,30,every,,
177,360,Distribution Board  1 yearly preventive maintenance inspection ,,use ppe,9,1.0000000,,0.0000000,,,,,30,,,,3,3.0000000,5,20,,,,,,,,12.0900000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1186,8/10/2023 4:16:43 PM,,,0,,,,,,570,,0,Standard,0.0000000,,30,every,,
178,359, Distribution Board  6 monthly preventive maintenance inspection ,,Use PPE,4,6.0000000,,0.0000000,,,,,2,,,,3,3.0000000,5,20,,,,,,,,12.6450000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1964,29/09/2023 3:19:28 PM,,,0,,,,,,570,,0,Standard,0.0000000,,30,every,,
179,358, Distribution Board  3 monthly preventive maintenance inspection ,,"use PPE and work wih safety rules, while you are checking, use insulated tools and equipments.",4,3.0000000,,0.0000000,,,,,2,,,,3,2.0000000,5,20,,,,,,,,8.0600000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1186,8/10/2023 3:56:38 PM,,,0,,,,,,570,,0,Standard,0.0000000,,30,every,,
180,357, EXIT Light  1 yearly predictive maintenance inspection ,,use ppe,9,1.0000000,,0.0000000,,,,,2,,,,3,3.0000000,5,20,,,,,,,,9.3300000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1186,8/10/2023 4:00:16 PM,,,0,,,,,,570,,0,Standard,0.0000000,,30,every,,
181,356, EXIT Light   6 monthly preventive maintenance inspection ,,1) Use ppe2) Follow all safety rules ,4,6.0000000,,0.0000000,,,,,2,,,,3,4.0000000,5,20,,,,,,,,24.0200000,0.0000000,0.0000000,,1,2/11/2022 5:41:10 AM,1186,8/10/2023 3:59:38 PM,,,0,,,,,,570,,0,Standard,0.0000000,,30,every,,
