Account Code ID,Account Code Name,Account Code Description,Annual Budget,January,February,March,April,May,June,July,August,September,October,November,December,Is Active,Created By Contact ID,Created Date Time,Modified By Contact ID,Modified Date Time,Validation Type
3,210112010000,LP Nitrogen Costs,1.0000000,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,,1,24/02/2022 2:26:01 PM,1,18/02/2023 10:18:50 AM,
7,13600000001,LABRCOST - Labour Cost,11993545.8999999,810726.5700000,829563.9200000,1088707.1400000,885749.1100000,1115076.2500000,912057.2800000,1060398.6300000,969521.6200000,1114286.6500000,1003597.2400000,1014040.3700000,1189821.1200000,,1,24/02/2022 2:34:32 PM,1452,5/01/2023 2:57:49 PM,
10,100000000001,MAINTCOST - Maintenance Cost,18794168.0000000,726914.0000000,4396914.0000000,796914.0000000,777514.0000000,1276914.0000000,1276914.0000000,1276914.0000000,1526914.0000000,1317514.0000000,1816914.0000000,1816914.0000000,1786914.0000000,,1,24/02/2022 2:40:13 PM,1460,26/05/2023 9:58:24 AM,
18033,210102000001,Pipeline Gas,7346988.9999999,612249.0833333,612249.0833333,612249.0833333,612249.0833333,612249.0833333,612249.0833333,612249.0833333,612249.0833333,612249.0833333,612249.0833333,612249.0833333,612249.0833333,,1454,24/05/2022 11:09:08 AM,1,18/02/2023 10:04:27 AM,
18036,210108010000,Maintenance Scaffolding,448572.0000000,37381.0000000,37381.0000000,37381.0000000,37381.0000000,37381.0000000,37381.0000000,37381.0000000,37381.0000000,37381.0000000,37381.0000000,37381.0000000,37381.0000000,,1452,27/08/2022 4:05:42 PM,1,18/02/2023 10:06:31 AM,
18037,210108020000,Maintenance Insulation,1150000.0000000,50000.0000000,100000.0000000,100000.0000000,100000.0000000,100000.0000000,100000.0000000,100000.0000000,100000.0000000,100000.0000000,100000.0000000,100000.0000000,100000.0000000,,1452,27/08/2022 4:07:26 PM,1,18/02/2023 10:06:36 AM,
18038,210109010000,Maintenance Welding,240000.0000000,20000.0000000,20000.0000000,20000.0000000,20000.0000000,20000.0000000,20000.0000000,20000.0000000,20000.0000000,20000.0000000,20000.0000000,20000.0000000,20000.0000000,,1452,27/08/2022 4:08:15 PM,1,18/02/2023 10:10:00 AM,
18039,210108030000,NDE & Inspection Services,120000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,,1452,27/08/2022 4:08:58 PM,1,18/02/2023 10:06:42 AM,
18040,210109020000,Maintenance Rotating Services,960000.0000000,80000.0000000,80000.0000000,80000.0000000,80000.0000000,80000.0000000,80000.0000000,80000.0000000,80000.0000000,80000.0000000,80000.0000000,80000.0000000,80000.0000000,,1452,27/08/2022 4:10:05 PM,1,18/02/2023 10:10:07 AM,
18041,210109030000,Electrical Spares,120000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,,1452,27/08/2022 4:11:05 PM,1,18/02/2023 10:10:14 AM,
18042,210109040000,Control System Spares,60000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,,1452,27/08/2022 4:12:03 PM,1,18/02/2023 10:10:21 AM,
18043,210109050000,Instrument Spares,960000.0000000,80000.0000000,80000.0000000,80000.0000000,80000.0000000,80000.0000000,80000.0000000,80000.0000000,80000.0000000,80000.0000000,80000.0000000,80000.0000000,80000.0000000,,1452,27/08/2022 4:14:17 PM,1,18/02/2023 10:10:28 AM,
18044,210109060000,Analyser Spares,180000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,,1452,27/08/2022 4:15:26 PM,1,18/02/2023 10:10:34 AM,
18045,210109070000,Mechanical Rotating Spares,1200000.0000000,100000.0000000,100000.0000000,100000.0000000,100000.0000000,100000.0000000,100000.0000000,100000.0000000,100000.0000000,100000.0000000,100000.0000000,100000.0000000,100000.0000000,,1452,27/08/2022 4:16:38 PM,1,18/02/2023 10:10:40 AM,
18046,210108040000,Refractory Services,600000.0000000,50000.0000000,50000.0000000,50000.0000000,50000.0000000,50000.0000000,50000.0000000,50000.0000000,50000.0000000,50000.0000000,50000.0000000,50000.0000000,50000.0000000,,1452,27/08/2022 4:19:50 PM,1,18/02/2023 10:06:48 AM,
18047,210109080000,Electrical Services,416667.0000000,34722.2500000,34722.2500000,34722.2500000,34722.2500000,34722.2500000,34722.2500000,34722.2500000,34722.2500000,34722.2500000,34722.2500000,34722.2500000,34722.2500000,,1452,27/08/2022 4:20:31 PM,1,18/02/2023 10:10:46 AM,
18048,210109090000,Mechanical (Static) Services,15508.0000000,1292.3333333,1292.3333333,1292.3333333,1292.3333333,1292.3333333,1292.3333333,1292.3333333,1292.3333333,1292.3333333,1292.3333333,1292.3333333,1292.3333333,,1452,27/08/2022 4:21:15 PM,1,18/02/2023 10:10:52 AM,
18049,210108050000,Equipment Hiring Services,8333.0000000,694.4166666,694.4166666,694.4166666,694.4166666,694.4166666,694.4166666,694.4166666,694.4166666,694.4166666,694.4166666,694.4166666,694.4166666,,1452,27/08/2022 4:21:50 PM,1,18/02/2023 10:06:54 AM,
18050,210109100000,Mechanical (Static) spares,1320000.0000000,110000.0000000,110000.0000000,110000.0000000,110000.0000000,110000.0000000,110000.0000000,110000.0000000,110000.0000000,110000.0000000,110000.0000000,110000.0000000,110000.0000000,,1452,27/08/2022 4:22:09 PM,1,18/02/2023 10:10:59 AM,
18051,210109110000,Instrumentation Services,240000.0000000,20000.0000000,20000.0000000,20000.0000000,20000.0000000,20000.0000000,20000.0000000,20000.0000000,20000.0000000,20000.0000000,20000.0000000,20000.0000000,20000.0000000,,1452,27/08/2022 4:23:12 PM,1,18/02/2023 10:11:06 AM,
18052,210109120000,Maintenance Civil Services,530000.0000000,30000.0000000,50000.0000000,50000.0000000,30000.0000000,30000.0000000,30000.0000000,30000.0000000,30000.0000000,70000.0000000,70000.0000000,70000.0000000,40000.0000000,,1452,27/08/2022 4:23:51 PM,1,18/02/2023 10:11:13 AM,
18053,210109130000,General Maintenance Material,48000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,,1452,27/08/2022 4:24:51 PM,1,18/02/2023 10:11:19 AM,
18054,210108060000,Maintenance Additional Services,600000.0000000,50000.0000000,50000.0000000,50000.0000000,50000.0000000,50000.0000000,50000.0000000,50000.0000000,50000.0000000,50000.0000000,50000.0000000,50000.0000000,50000.0000000,,1452,27/08/2022 4:25:26 PM,1,18/02/2023 10:07:01 AM,
18055,210109140000,Smaller Modifications (MOC),120000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,,1452,27/08/2022 4:26:22 PM,1,18/02/2023 10:11:35 AM,
18056,210108070000,Extraordinary Maintenance,1.0000000,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,0.0833333,,1452,27/08/2022 4:26:34 PM,1,18/02/2023 10:53:49 AM,
18057,210109150000,Plant Shutdown Costs,9350000.0000000,0.0000000,3600000.0000000,0.0000000,0.0000000,500000.0000000,500000.0000000,500000.0000000,750000.0000000,500000.0000000,1000000.0000000,1000000.0000000,1000000.0000000,,1452,27/08/2022 4:27:03 PM,1,18/02/2023 10:11:41 AM,
18058,210109160000,Maintenance Buildings - Infrastructure,60000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,5000.0000000,,1452,27/08/2022 4:27:23 PM,1,18/02/2023 10:11:47 AM,
