Department ID,Department Name,Department Description,Is Active,Created By Contact ID,Created Date Time,Modified By Contact ID,Modified Date Time
1,PWU-Analyser,Maintenance,,1,24/02/2022 12:35:04 PM,1460,11/05/2023 12:52:27 PM
5,Sales and Marketing,Commercial,,1,24/02/2022 12:35:43 PM,1460,19/05/2023 1:05:24 PM
7,Administrative department,Commercial,,1,24/02/2022 12:36:05 PM,1687,29/05/2023 11:09:53 AM
8,SLU-Electrical,Maintenance,,1,24/02/2022 12:36:55 PM,1460,11/05/2023 12:52:27 PM
9,SLU-Rotating,Maintenance,,1,24/02/2022 12:37:35 PM,1460,11/05/2023 12:52:27 PM
10,SLU-Static,Maintenance,,1,24/02/2022 12:38:33 PM,1460,11/05/2023 12:52:27 PM
11,SLU-Instrumentation,Maintenance,,1,24/02/2022 12:41:30 PM,1460,11/05/2023 12:52:27 PM
12,SGU-Electrical,Maintenance,,1,24/02/2022 1:40:03 PM,1460,11/05/2023 12:52:27 PM
13,SGU-Rotating,Maintenance,,1,24/02/2022 1:40:30 PM,1460,11/05/2023 12:52:27 PM
14,SGU-Instrumentation,Maintenance,,1,24/02/2022 1:40:51 PM,1460,11/05/2023 12:52:27 PM
15,SGU-Static,Maintenance,,1,24/02/2022 1:41:14 PM,1460,11/05/2023 12:52:27 PM
16,PWU-Electrical,Maintenance,,1,24/02/2022 1:41:46 PM,1460,11/05/2023 12:52:27 PM
17,PWU-Instrumentation,Maintenance,,1,24/02/2022 1:42:25 PM,1460,11/05/2023 12:52:27 PM
18,PWU-Static,Maintenance,,1,24/02/2022 1:42:46 PM,1460,11/05/2023 12:52:27 PM
19,PWU-Rotating,Maintenance,,1,24/02/2022 1:43:18 PM,1460,11/05/2023 12:52:27 PM
20,U&O-Electrical,Maintenance,,1,24/02/2022 1:43:54 PM,1460,11/05/2023 12:52:27 PM
21,U&O-Instrumentation,Maintenance,,1,24/02/2022 1:44:37 PM,1460,11/05/2023 12:52:27 PM
22,U&O-Static,Maintenance,,1,24/02/2022 1:44:53 PM,1460,11/05/2023 12:52:27 PM
23,U&O-Rotating,Maintenance,,1,24/02/2022 1:45:11 PM,1460,11/05/2023 12:52:27 PM
26,MECH (Rotating),MECH (Rotating),,1,26/02/2022 2:12:21 PM,1452,24/08/2022 11:21:46 AM
27,MECH (Static),MECH (Static),,1,26/02/2022 2:12:21 PM,1452,24/08/2022 11:21:46 AM
28,Plant Integrity,Technical,,1,26/02/2022 2:16:41 PM,1460,19/05/2023 1:05:24 PM
31,Motor Transport Operation department,Production,,1,10/03/2022 2:08:48 PM,1460,19/05/2023 1:05:24 PM
32,HEAD,Head Department,,1452,23/05/2022 9:23:21 AM,1452,24/08/2022 11:21:46 AM
33,MANAGER,Managers,,1452,23/05/2022 9:23:38 AM,1454,26/05/2022 2:36:51 PM
34,CON-MON,Technical,,1452,23/05/2022 9:24:34 AM,1460,19/05/2023 12:53:15 PM
35,Electrical,Electrical,,1454,13/06/2022 3:26:33 PM,1452,24/08/2022 11:21:46 AM
36,Instrumentation,Instrumentation,,1454,13/06/2022 3:26:33 PM,1452,24/08/2022 11:21:46 AM
37,Warehouse,Maintenance,,1452,26/06/2022 9:24:59 AM,1460,11/05/2023 12:44:14 PM
38,TECHNICAL,TECHNICAL,,1452,26/06/2022 9:42:28 AM,1460,19/05/2023 12:53:15 PM
40,U&O-Analyser,Maintenance,,689,5/07/2022 4:53:38 PM,1460,11/05/2023 12:52:27 PM
41,CONT SERVICES,Maintenance,,1452,20/08/2022 2:19:38 PM,1460,11/05/2023 12:44:14 PM
42,CofE,Maintenance,,1452,20/08/2022 2:20:24 PM,1460,11/05/2023 12:44:14 PM
43,Turnaround,Maintenance,,1452,20/08/2022 2:20:57 PM,1460,11/05/2023 12:44:14 PM
44,CIVIL,Maintenance,,1452,20/08/2022 2:21:14 PM,1460,11/05/2023 12:44:14 PM
47,Synthesis Gas Unit,Production,,1,2/09/2022 8:55:28 AM,1460,19/05/2023 1:05:24 PM
48,SGU-Analyser,Maintenance,,1,8/09/2022 4:48:25 PM,1460,11/05/2023 12:52:27 PM
49,SLU-Analyser,Maintenance,,1465,24/09/2022 10:35:31 AM,1460,11/05/2023 12:52:27 PM
50,Automation,Technical,,1465,13/10/2022 4:47:16 PM,1460,19/05/2023 12:53:15 PM
51,Process Safety Department,Technical,,1465,13/10/2022 4:48:19 PM,1460,19/05/2023 12:53:15 PM
52,Central Factory Laboratory,Production,,1465,13/10/2022 4:49:22 PM,1460,19/05/2023 12:53:15 PM
