Requisition Line ID,Requisition ID,Asset ID,Requisition Line Description,Requisitioned Quantity,UOMID,Work Order Spare ID,Expected Purchase Price,Completed Date Time,Completed By Contact ID,Is Cancelled,Cancelled By Contact ID,Cancelled Date Time,Created By Contact ID,Created Date Time,Modified By Contact ID,Modified Date Time
23,13,173901,Test,1.0000000,2,,0.0000000,12/09/2022 11:12:27 AM,1656,,1656,12/09/2022 11:12:27 AM,1,7/09/2022 11:44:23 AM,1656,12/09/2022 11:12:27 AM
24,14,154203,"INSULATION (1SET = 4 SHEET), MINERAL FIBAR 120K X 75T (S.233-42.2 OF 88)",6.0000000,8,40,0.0000000,,,,689,16/09/2022 9:25:21 AM,1463,11/09/2022 11:03:13 AM,689,16/09/2022 9:25:31 AM
25,15,129230,"72459919 - Gasket SW, G 2045 x 1995 mm - CGI CS, / Проклакда Розетка Сварная",1.0000000,2,41,1303.9950000,12/09/2022 2:19:31 PM,1458,,,,689,12/09/2022 10:57:06 AM,1458,12/09/2022 2:19:31 PM
26,16,129210,"70483729 - O-ring D=81,92 x 5,33 mm, Kalrez 6375 / Уплотнительное кольцо",2.0000000,2,42,750.2857000,14/09/2022 8:39:50 AM,1670,,,,689,12/09/2022 10:57:11 AM,1670,14/09/2022 8:39:50 AM
27,17,129206,"70483725 - O-ring D=34,52 x 3,53 mm, Kalrez 6375, / Уплотнительное кольцо",38.0000000,2,43,88.5960000,15/09/2022 3:52:03 PM,1458,,,,689,12/09/2022 10:57:16 AM,1458,15/09/2022 3:52:03 PM
28,18,129209,"70483728 - O-ring D=72,62 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",2.0000000,2,44,381.5054000,15/09/2022 3:51:57 PM,1458,,,,689,12/09/2022 10:59:34 AM,1458,15/09/2022 3:51:57 PM
29,19,129211,"70483730 - Quanding 53,64 x 2,62 mm, Kalrez 6375 / Кводринг",2.0000000,2,45,358.0224000,15/09/2022 3:51:52 PM,1458,,,,689,12/09/2022 11:00:43 AM,1458,15/09/2022 3:51:52 PM
30,20,129205,"70483724 - O-ring D=31,34 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",2.0000000,2,46,166.7864000,15/09/2022 3:51:48 PM,1458,,,,689,12/09/2022 11:04:56 AM,1458,15/09/2022 3:51:48 PM
31,21,129851,"Size: 3"" (Size: 80mm) Gasket, 316 SS WND FLEXIBLE GRAPHITE FILL 316 SS I/R 316 SS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",6.0000000,2,47,6.7574000,15/09/2022 3:51:43 PM,1458,,,,689,12/09/2022 11:06:32 AM,1458,15/09/2022 3:51:43 PM
32,22,174409,Test,1.0000000,2,2909,1000000.0000000,,,,1,14/09/2022 11:42:45 AM,1,14/09/2022 11:38:57 AM,1452,10/02/2023 2:38:54 PM
33,23,129901,"Size: 4"" (Size: 100mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",1.0000000,2,2908,11.3361000,,,,689,16/09/2022 9:27:21 AM,689,16/09/2022 9:21:56 AM,1452,10/02/2023 2:34:23 PM
34,24,129835,"Size: 24"" (Size: 600mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",1.0000000,2,73,38.7742000,,,,689,16/09/2022 9:24:55 AM,689,16/09/2022 9:23:50 AM,689,16/09/2022 9:24:59 AM
35,25,128960,Oil Mobil DTE 25 Ultra / Масло,30.0000000,20,75,4.2437000,21/09/2022 12:17:42 PM,1458,,,,1460,20/09/2022 3:39:42 PM,1458,21/09/2022 12:17:42 PM
36,26,128958,Oil Mobil DTE 10  Excel 32  / Масло,30.0000000,20,76,4.4515000,21/09/2022 12:52:04 PM,1460,,1460,21/09/2022 12:52:04 PM,1460,20/09/2022 3:55:48 PM,1460,21/09/2022 12:52:04 PM
37,27,173611,Смазка пластичная универсальная WD-40 400 ml,1.0000000,2,77,6.7076000,2/11/2022 3:15:58 PM,1687,,1687,2/11/2022 3:15:58 PM,689,21/09/2022 3:06:35 PM,1687,2/11/2022 3:14:19 PM
38,28,130586,Нетканое полотно,10.0000000,2,78,0.4401000,2/11/2022 3:16:02 PM,1687,,1687,2/11/2022 3:16:02 PM,689,21/09/2022 3:08:37 PM,1687,2/11/2022 3:14:23 PM
39,29,161950,"SPARE PARTS - GASKETS: FULL THREAD SCREW BOLT/ASME B18.31.2-2014/3/4""-10UNC-115L/SA-193 GR.B7/COATING FLUOROCARBON FOR 150-VD-019 (S.354-9 OF 13)",20.0000000,2,79,0.0000000,2/11/2022 3:16:05 PM,1687,,1687,2/11/2022 3:16:05 PM,689,22/09/2022 10:19:19 AM,1687,2/11/2022 3:14:27 PM
40,30,169226,"70483725 - O-ring D=34,52 x 3,53 mm, Kalrez 6375, / Уплотнительное кольцо",38.0000000,2,80,88.1314000,28/09/2022 11:03:06 AM,1656,,,,1460,23/09/2022 10:24:48 AM,1656,28/09/2022 11:03:06 AM
