Requisition ID,Requisition Number,Suggested Supplier Contact ID,Delivery Location,Requisition Description,Requisitioned By Contact ID,Required By Date Time,Work Order ID,Account Code ID,Comment,User Defined Text Box,User Defined Date Time,Requisition User Defined1ID,Created By Contact ID,Created Date Time,Modified By Contact ID,Modified Date Time,Raised Date Time,Is From Replenish Stock,Approval Path ID
13,17,882,test,test,1,7/09/2022 11:44:04 AM,,,,,,,1,7/09/2022 11:44:04 AM,1,7/09/2022 11:49:54 AM,7/09/2022 11:44:04 AM,,24
14,18,,,,1463,11/09/2022 11:03:12 AM,71,10,,,,,1463,11/09/2022 11:03:12 AM,1463,11/09/2022 11:03:13 AM,11/09/2022 11:03:12 AM,,25
15,19,,,,689,12/09/2022 10:57:06 AM,66,10,,,,,689,12/09/2022 10:57:06 AM,689,12/09/2022 10:57:06 AM,12/09/2022 10:57:06 AM,,26
16,20,,,,689,12/09/2022 10:57:11 AM,66,10,,,,,689,12/09/2022 10:57:11 AM,1458,12/09/2022 2:26:07 PM,12/09/2022 10:57:11 AM,,26
17,21,,,,689,12/09/2022 10:57:16 AM,66,10,,,,,689,12/09/2022 10:57:16 AM,689,12/09/2022 10:57:16 AM,12/09/2022 10:57:16 AM,,26
18,22,,,,689,12/09/2022 10:59:34 AM,66,10,,,,,689,12/09/2022 10:59:34 AM,689,12/09/2022 10:59:34 AM,12/09/2022 10:59:34 AM,,26
19,23,,,,689,12/09/2022 11:00:43 AM,66,10,,,,,689,12/09/2022 11:00:43 AM,689,12/09/2022 11:00:43 AM,12/09/2022 11:00:43 AM,,26
20,24,,,,689,12/09/2022 11:04:56 AM,66,10,,,,,689,12/09/2022 11:04:56 AM,689,12/09/2022 11:04:56 AM,12/09/2022 11:04:56 AM,,26
21,25,,,,689,12/09/2022 11:06:32 AM,66,10,,,,,689,12/09/2022 11:06:32 AM,689,15/09/2022 12:03:18 PM,12/09/2022 11:06:32 AM,,26
22,26,1861,,Test please ignore,1,14/09/2022 11:37:07 AM,29348,10,,,,,1,14/09/2022 11:37:07 AM,1452,10/02/2023 2:38:54 PM,14/09/2022 11:37:07 AM,,33
23,27,1861,,,689,12/09/2022 9:00:00 AM,63,10,,,,,689,16/09/2022 9:21:56 AM,1452,10/02/2023 2:37:25 PM,16/09/2022 9:21:56 AM,,33
24,28,,,,689,14/09/2022 2:00:00 PM,103,10,,,,,689,16/09/2022 9:23:50 AM,1453,17/02/2023 2:53:52 PM,16/09/2022 9:23:50 AM,,26
25,29,,,,1460,20/09/2022 3:39:42 PM,186,10,,,,,1460,20/09/2022 3:39:42 PM,1460,20/09/2022 3:39:42 PM,20/09/2022 3:39:42 PM,,28
26,30,,,,1460,9/10/2022 9:00:00 AM,188,10,Requisitioned by mistake  ,,,,1460,20/09/2022 3:55:48 PM,1687,21/09/2022 8:58:03 AM,20/09/2022 3:55:48 PM,,28
27,31,,,,689,21/09/2022 12:00:00 AM,203,10,,,,,689,21/09/2022 3:06:35 PM,689,21/09/2022 3:06:35 PM,21/09/2022 3:06:35 PM,,26
28,32,,,,689,21/09/2022 12:00:00 AM,203,10,,,,,689,21/09/2022 3:08:37 PM,689,21/09/2022 3:08:37 PM,21/09/2022 3:08:37 PM,,26
29,33,,,,689,19/09/2022 12:00:00 AM,138,10,,,,,689,22/09/2022 10:19:19 AM,689,22/09/2022 10:19:19 AM,22/09/2022 10:19:19 AM,,26
30,34,,,,1460,23/09/2022 10:24:48 AM,238,10,,,,,1460,23/09/2022 10:24:48 AM,1460,23/09/2022 10:24:48 AM,23/09/2022 10:24:48 AM,,28
31,35,,,,1460,23/09/2022 10:24:54 AM,238,10,,,,,1460,23/09/2022 10:24:54 AM,1460,23/09/2022 10:24:54 AM,23/09/2022 10:24:54 AM,,28
