Work Order Component Description,Account Code ID,Work Order Component ID,Job Code Major ID
"AIR CONDITION, HEAT - ADD REFRIGERANT",10,2,1
Instrument Spares,18043,3,71
Maintenance Rotating Services,18040,4,68
Instrument Spares,10,5,71
"AIR CONDITION, HEAT",18037,6,1
"INSTRUMENTS, GAUGES",18039,7,3
"AIR CONDITION, HEAT - ADD REFRIGERANT",3,8,1
CAB/SHEET METALS - ADJUST DOOR LOCK,4,9,2
"INSTRUMENTS, GAUGES - ADJUST WARNG BUZ",5,10,3
AERODYNAMIC DEVICES,6,11,4
Maintenance Scaffolding,18036,12,64
Maintenance Insulation,18037,13,65
Maintenance Welding,18038,14,66
NDE & Inspection Services,18039,15,67
Instrument Spares,18043,16,71
Equipment Hiring Services,18049,17,77
Mechanical Static spares,18050,18,78
Vehicle Maintenance,18061,19,89
Maintenance Additional Spares,18059,20,87
Instrument Spares,18043,21,71
Control System Spares,18042,22,70
Maintenance Rotating Services,18040,23,68
Mechanical Rotating Spares,18045,24,73
Maintenance Rotating Services,18040,25,68
Maintenance Rotating Services,18040,26,68
Mechanical Static spares,18050,27,78
Maintenance Rotating Services,18040,28,68
Maintenance Insulation,18037,29,65
Mechanical Services,18048,30,76
Maintenance Scaffolding,18036,31,64
Mechanical Services,18048,32,76
Instrumentation Services,18051,33,79
Instrumentation Services,18051,34,79
Maintenance Civil Services,18052,35,80
Mechanical Services,10,36,76
Mechanical Static spares,18050,37,78
Maintenance Rotating Services,18054,38,68
Maintenance Insulation,18037,39,65
Mechanical Services,18054,40,76
Maintenance Welding,18038,41,66
Maintenance Insulation,18037,42,65
Mechanical Services,18046,43,76
Maintenance Insulation,18037,44,65
Maintenance Rotating Services,18040,45,68
Instrumentation Services,18051,46,79
Maintenance Welding,18038,49,66
Maintenance Insulation,18037,50,65
Maintenance Scaffolding,18036,51,64
Maintenance Insulation,18037,52,65
Instrumentation Services,18051,53,79
Mechanical Static spares,18050,54,78
Mechanical Services,18048,55,76
Instrumentation Services,18051,56,79
Instrumentation Services,18051,57,79
Instrumentation Services,18051,58,79
Instrumentation Services,18051,59,79
Instrumentation Services,18051,60,79
Instrumentation Services,18051,61,79
Instrumentation Services,18051,62,79
Mechanical Services,18048,63,76
Instrumentation Services,18036,64,79
Mechanical Services,18048,65,76
Mechanical Services,18048,66,76
Maintenance Rotating Services,18040,67,68
Instrumentation Services,18051,68,79
Mechanical Services,18048,69,76
Maintenance Welding,18038,70,66
Maintenance Rotating Services,18040,71,68
Maintenance Rotating Services,18040,72,68
Maintenance Rotating Services,18040,73,68
Mechanical Services,18048,74,76
Maintenance Rotating Services,18040,75,68
Mechanical Services,,76,76
Instrumentation Services,18051,77,79
Electrical Services,18047,78,75
Maintenance Insulation,18037,79,65
Maintenance Welding,18038,80,66
Mechanical Services,18048,81,76
Mechanical Services,18048,82,76
Mechanical Services,18048,83,76
Maintenance Rotating Services,18040,84,68
Maintenance Rotating Services,18040,86,68
Maintenance Rotating Services,18040,87,68
Maintenance Rotating Services,18040,88,68
Maintenance Rotating Services,18040,89,68
