Work Order Spare Description,Work Order Spare ID,Estimated Quantity,Estimated Unit Cost,Actual Quantity,Work Order ID,UOMDescription,Account Code Name,Account Code Description,Job Code Major Description,Employee WOSpares,Spares Comment
"72459919 - Gasket SW, G 2045 x 1995 mm - CGI CS, / Проклакда Розетка Сварная",41,1.0000000,1303.9950000,1.0000000,66,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483729 - O-ring D=81,92 x 5,33 mm, Kalrez 6375 / Уплотнительное кольцо",42,2.0000000,750.2857000,2.0000000,66,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483725 - O-ring D=34,52 x 3,53 mm, Kalrez 6375, / Уплотнительное кольцо",43,38.0000000,88.5960000,38.0000000,66,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483728 - O-ring D=72,62 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",44,2.0000000,381.5054000,2.0000000,66,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483730 - Quanding 53,64 x 2,62 mm, Kalrez 6375 / Кводринг",45,2.0000000,358.0224000,2.0000000,66,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483724 - O-ring D=31,34 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",46,2.0000000,166.7864000,2.0000000,66,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Size: 3"" (Size: 80mm) Gasket, 316 SS WND FLEXIBLE GRAPHITE FILL 316 SS I/R 316 SS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",47,6.0000000,6.7574000,6.0000000,66,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Mobile gear,59,1.0000000,0.0000000,0.0000000,111,Each,210109020000,Maintenance Rotating Services,Maintenance Rotating Services,,
"ФУМ-лента 19мм*15м*0,20мм",192,0.0000000,1.2843000,0.0000000,124,Each,210109050000,Instrument Spares,Control System Spares,,
"Size: 24"" (Size: 600mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",67,1.0000000,38.7742000,1.0000000,103,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Size: 24"" (Size: 600mm) Gasket, 316 SS WND FLEXIBLE GRAPHITE FILL 316 SS I/R 316 SS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",68,1.0000000,130.6885000,1.0000000,103,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Size: 6"" (Size: 150mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL150 4.5MM thickness (3.2MM RING) Spiral Wound",70,1.0000000,8.3319000,1.0000000,103,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Size: 24"" (Size: 600mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",73,1.0000000,38.7742000,0.0000000,103,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Герметик BIRKOSIT Dichrungskitt,211,1.0000000,541.2844000,0.0000000,138,Kg,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Size: 30"" (Size: 750mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 SR.B CL300 4.5MM thickness (3.2MM RING) Spiral Wound",212,2.0000000,112.6971000,0.0000000,138,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Size: 42"" (Size: 1050mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 SR.B CL300 4.5MM thickness (3.2MM RING) Spiral Wound",213,2.0000000,186.7562000,0.0000000,138,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Size: 3"" (Size: 80mm) Gasket, 316L SS WND GRAPH FILL CS I/R CS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",199,12.0000000,7.7787000,0.0000000,138,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Gasket 316L SS WND GRAPH FILL CS I/R CS O/R RF B16.20 4.5MM thickness (3.2MM RING) Spiral Wound CL300 Size 12,200,2.0000000,14.9276000,0.0000000,138,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Size: 30"" (Size: 750mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 SR.B CL300 4.5MM thickness (3.2MM RING) Spiral Wound",201,3.0000000,112.6971000,0.0000000,138,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"SPARE PARTS - GASKETS: FULL THREAD SCREW BOLT/ASME B18.31.2-2014/3/4""-10UNC-115L/SA-193 GR.B7/COATING FLUOROCARBON FOR 150-VD-019 (S.354-9 OF 13)",79,20.0000000,0.0000000,0.0000000,138,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Metal Pipes (steel, circular section, suture, diameter not more than 168,3 mm), LT FT - GTL Cluster Tubes",209,173.0000000,9148.4832000,0.0000000,138,Set,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Наждачная бумага от 0 мм до 20мм,317,10.0000000,4.7835000,0.0000000,138,Meter sq.,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Смазка пластичная универсальная WD-40 400 ml,318,5.0000000,6.7076000,0.0000000,138,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Oil Mobil DTE 25 Ultra / Масло,75,30.0000000,4.2437000,30.0000000,186,Litr,210109020000,Maintenance Rotating Services,Maintenance Rotating Services,,
Oil Mobil DTE 10  Excel 32  / Масло,76,30.0000000,4.4515000,0.0000000,188,Litr,210109020000,Maintenance Rotating Services,Maintenance Rotating Services,,
Смазка пластичная универсальная WD-40 400 ml,77,2.0000000,6.7076000,0.0000000,203,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Нетканое полотно,78,10.0000000,0.4401000,0.0000000,203,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Филтрь поз. 135-SP-TS0401 воздуховки 135-CB-002,240,1.0000000,1840.0000000,0.0000000,158,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Смазка пластичная универсальная WD-40 400 ml,103,1.0000000,6.7076000,1.0000000,319,Each,210109050000,Instrument Spares,Instrument Spares,,
Наждачная бумага от 0 мм до 20мм,104,1.0000000,4.7835000,1.0000000,319,Meter sq.,210109050000,Instrument Spares,Instrument Spares,,
"Силиконовый компаунд MOLYKOTE 111 / Стойкий к озону, ультра-фиолетовому излучению и экстримальным температурам, Масло- и бензостойкий, Высокая термостойкость (до +315°С)",105,0.1000000,27.2847000,0.1000000,319,Kg,210109050000,Instrument Spares,Instrument Spares,,
"Силиконовый компаунд MOLYKOTE 111 / Стойкий к озону, ультра-фиолетовому излучению и экстримальным температурам, Масло- и бензостойкий, Высокая термостойкость (до +315°С)",106,0.9000000,27.2847000,0.9000000,319,Kg,210109050000,Instrument Spares,Instrument Spares,,
Аргон баллон 50л,111,2.0000000,246.4484000,4.0000000,399,Each,210109010000,Maintenance Welding,Maintenance Welding,,
Шлифовальний круги 125x6.0 22.23 А 24 R BF 80.2,112,6.0000000,0.9168000,4.0000000,399,Each,210109010000,Maintenance Welding,Maintenance Welding,,
ERNiCrMo-3 Inconel 625 Tig Filler Rods,113,10.0000000,34.0500000,9.0000000,399,Kg,210109010000,Maintenance Welding,Maintenance Welding,,
"Диск для болгарки Milwaukee SCS 41/150x6,4",126,10.0000000,2.1596000,10.0000000,399,Each,210109010000,Maintenance Welding,Maintenance Welding,,
Oil Nuto H 46 / Масло,135,1.5000000,3.2176000,0.0000000,583,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Oil Mobil DTE 10  Excel 32  / Масло,137,9.0000000,4.4515000,0.0000000,587,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Смазка пластичная универсальная WD-40 400 ml,153,0.5000000,6.7076000,0.5000000,588,Each,210109090000,Mechanical (Static) Services,Mechanical Static spares,,
"70483729 - O-ring D=81,92 x 5,33 mm, Kalrez 6375 / Уплотнительное кольцо",140,2.0000000,750.2857000,2.0000000,571,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483725 - O-ring D=34,52 x 3,53 mm, Kalrez 6375, / Уплотнительное кольцо",141,38.0000000,88.5960000,38.0000000,571,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483728 - O-ring D=72,62 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",142,2.0000000,381.5054000,2.0000000,571,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
