Requisition ID,Requisition Line Description,Requisitioned Quantity,UOMID,Expected Purchase Price,Completed Date Time,Cancelled Date Time,Created By Contact ID,Asset ID
13,Test,1.0000000,2,0.0000000,12/09/2022 11:12:27 AM,12/09/2022 11:12:27 AM,1,173901
14,"INSULATION (1SET = 4 SHEET), MINERAL FIBAR 120K X 75T (S.233-42.2 OF 88)",6.0000000,8,0.0000000,,16/09/2022 9:25:21 AM,1463,154203
15,"72459919 - Gasket SW, G 2045 x 1995 mm - CGI CS, / Проклакда Розетка Сварная",1.0000000,2,1303.9950000,12/09/2022 2:19:31 PM,,689,129230
16,"70483729 - O-ring D=81,92 x 5,33 mm, Kalrez 6375 / Уплотнительное кольцо",2.0000000,2,750.2857000,14/09/2022 8:39:50 AM,,689,129210
17,"70483725 - O-ring D=34,52 x 3,53 mm, Kalrez 6375, / Уплотнительное кольцо",38.0000000,2,88.5960000,15/09/2022 3:52:03 PM,,689,129206
18,"70483728 - O-ring D=72,62 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",2.0000000,2,381.5054000,15/09/2022 3:51:57 PM,,689,129209
19,"70483730 - Quanding 53,64 x 2,62 mm, Kalrez 6375 / Кводринг",2.0000000,2,358.0224000,15/09/2022 3:51:52 PM,,689,129211
20,"70483724 - O-ring D=31,34 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",2.0000000,2,166.7864000,15/09/2022 3:51:48 PM,,689,129205
21,"Size: 3"" (Size: 80mm) Gasket, 316 SS WND FLEXIBLE GRAPHITE FILL 316 SS I/R 316 SS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",6.0000000,2,6.7574000,15/09/2022 3:51:43 PM,,689,129851
22,Test,1.0000000,2,1000000.0000000,,14/09/2022 11:42:45 AM,1,174409
23,"Size: 4"" (Size: 100mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",1.0000000,2,11.3361000,,16/09/2022 9:27:21 AM,689,129901
24,"Size: 24"" (Size: 600mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",1.0000000,2,38.7742000,,16/09/2022 9:24:55 AM,689,129835
25,Oil Mobil DTE 25 Ultra / Масло,30.0000000,20,4.2437000,21/09/2022 12:17:42 PM,,1460,128960
26,Oil Mobil DTE 10  Excel 32  / Масло,30.0000000,20,4.4515000,21/09/2022 12:52:04 PM,21/09/2022 12:52:04 PM,1460,128958
27,Смазка пластичная универсальная WD-40 400 ml,1.0000000,2,6.7076000,2/11/2022 3:15:58 PM,2/11/2022 3:15:58 PM,689,173611
28,Нетканое полотно,10.0000000,2,0.4401000,2/11/2022 3:16:02 PM,2/11/2022 3:16:02 PM,689,130586
29,"SPARE PARTS - GASKETS: FULL THREAD SCREW BOLT/ASME B18.31.2-2014/3/4""-10UNC-115L/SA-193 GR.B7/COATING FLUOROCARBON FOR 150-VD-019 (S.354-9 OF 13)",20.0000000,2,0.0000000,2/11/2022 3:16:05 PM,2/11/2022 3:16:05 PM,689,161950
30,"70483725 - O-ring D=34,52 x 3,53 mm, Kalrez 6375, / Уплотнительное кольцо",38.0000000,2,88.1314000,28/09/2022 11:03:06 AM,,1460,169226
31,"70483728 - O-ring D=72,62 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",2.0000000,2,381.5054000,28/09/2022 11:03:37 AM,,1460,129209
32,"70483729 - O-ring D=81,92 x 5,33 mm, Kalrez 6375 / Уплотнительное кольцо",4.0000000,2,750.2857000,28/09/2022 11:03:24 AM,,1460,129210
