Priority Matrix Answer ID,Priority Matrix Environmental Description,Environmental Risk Score,Priority Matrix Production Description,Production Risk Score,Priority Matrix Repair Cost Description,Repair Cost Risk Score,Priority Matrix Safety Description,Safety Risk Score
1,,0,,0,,0,,0
2,(C) Moderate - Reversible Impact,15,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact.",5,(C) Moderate -Repair <$150k,15,(C) Moderate - 1/more lost work day case due to work related injury.,15
3,(D) Minor - Uz GTL Secondary Area Impact,10,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(D) Minor - Repair <$50k,10,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
4,(C) Moderate - Reversible Impact,15,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(C) Moderate -Repair <$150k,15,(C) Moderate - 1/more lost work day case due to work related injury.,15
5,,0,,0,,0,,0
6,(D) Minor - Uz GTL Secondary Area Impact,10,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(D) Minor - Repair <$50k,10,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
7,(E) Insignificant - Uz GTL Primary Area Impact,5,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(D) Minor - Repair <$50k,10,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
8,(E) Insignificant - Uz GTL Primary Area Impact,5,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
9,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
10,(E) Insignificant - Uz GTL Primary Area Impact,5,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(E) Insignificant - Repair <$5k,5,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
