Catalogue ID,Catalogue Number,Catalogue Description,User Defined Text Box1,UOMID
50632,,remove the valve ,,2
50634,1198,1198,,2
50636,dte 10,dte 10,,2
50637,,Make an equipment list that includes all the assets needed ,,2
50638,,Verify the type of bearings and their seals that are installed in both the inboard and outboard ends of motors. This will determine if the bearings are regreasable.,,2
50639,9919,9919,,2
50640,, replace positioner glan part,,2
50642,Bolts must be untighten,Bolts must be untighten,,2
50643,PSV removal should be car,PSV removal should be carried out by crane if needs,,2
50644,blinds must be installed ,blinds must be installed instead of PSV input and output sides.,,2
50645,Calibration need to be pe,Calibration need to be performed at workshop by specialist,,2
50646,Calibrated PSV should be ,Calibrated PSV should be brought to the site to install,,2
50647,Blinds must be removed an,Blinds must be removed and PSV should be reinstalled,,2
50648,Insulation should be remo,Insulation should be removed by specialist,,2
50649,Bolts must be untighten,Bolts must be untighten,,2
50650,PSV removal should be car,PSV removal should be carried out by crane if needs,,2
50651,blinds must be installed ,blinds must be installed instead of PSV input and output sides.,,2
50652,Calibration need to be pe,Calibration need to be performed at workshop by specialist,,2
50653,Calibrated PSV should be ,Calibrated PSV should be brought to the site to install,,2
50654,Blinds must be removed an,Blinds must be removed and PSV should be reinstalled,,2
50655,Insulation should be remo,Insulation should be removed by specialist,,2
50709,Filter regulator ASH25-FR,Filter regulator ASH25-FR-SR-MD-10-X1-L160-L145,,2
50710,5473,5473,,2
50711,I63785792,I63785792,,2
50712,CH4 Methane,CH4 Methane,,2
50713,CH4 Methane ,CH4 Methane ,,2
50714,CH4 Methane,CH4 Methane,,2
50715,Transmitter Plate,Transmitter Plate,,2
50716,1.8N Sulfuric acidf (H2S0,1.8N Sulfuric acidf (H2S04),,2
50717,1.2 N Sodium hydroxide (N,1.2 N Sodium hydroxide (NaOH) ,,2
50718,TOC Standard solution 130,TOC Standard solution 1300 ppm,,2
50719,Span Calibration balloon,Span Calibration balloon,,2
50720,CH4 Methane,CH4 Methane,,2
50724,wd-40,wd-40,,2
50725,steam tracing,steam tracing,,2
50726,00004100,00004100,,2
50727,,"Electrode LINCOLN Electric / Электрод Pinnacle Alloys ER70S-3 3/32x36""TIG 140lbs",,2
50728,,"Electrode LINCOLN Electric / Электрод Pinnacle Alloys ER70S-3 3/32x36""TIG 140lbs",,2
50744,,"Electrode LINCOLN Electric / Электрод Pinnacle Alloys ER70S-3 3/32x36""TIG 140lbs",,2
50745,00001436,00001436,,2
50767,Mechanical seal repair ki,Mechanical seal repair kit,,2
50768,Polypropilen glycol,Polypropilen glycol,,2
50769,mol,mol,,2
50772,,"1"" x #150 RF Flange 2ea",,2
50773,,"1"" x elbow 90degree 2ea",,2
50774,,"1"" coupling 4ea (threaded or socket)",,2
50775,,"1"" check valve(#150) 1ea (Flange connection)",,2
50776,,"2"" x #150 RF flange 2ea",,2
50777,,"2"" x 1"" reducer 2ea (sch40 yoki STD)",,2
50778,,0 - 5 barg PG 2ea,,2
50779,,"1"" Tee 2ea (sch40 yoki STD)",,2
50780,,"1m of 1"" pipe  (sch40 yoki STD)",,2
50781,,"1m of 1"" pipe (sch40 yoki STD)",,2
50789,b,b,,2
50790,blind flange,blind flange,,2
50791,fluorocarbon,fluorocarbon,,2
50792,stainless steel 316L TIG ,stainless steel 316L TIG Rods,,2
50793,,Cutting disc (Bulgarian) 180mm / mm - Отрезной диск (Болгарка) 180мм,,2
50794,,grinding paste,,2
50795,,grinding paste,,2
50796,,Special ,,2
50800,ER70S-3,ER70S-3,,2
50801,ER70S-3,ER70S-3,,2
50803,ER70S-3,ER70S-3,,2
50804,ER70S-3,ER70S-3,,2
50805,FEB236BUSAEXDE IIcT4 2x36,FEB236BUSAEXDE IIcT4 2x36watts HE-1560-0302,,2
50806,Lamp L 36W/840 OSRAM,Lamp L 36W/840 OSRAM,,2
50807,Junction Box 4 opening,Junction Box 4 opening,,2
50808,DNEX 20 Cable Gland,DNEX 20 Cable Gland,,2
50809,A2FRC252 Cable Gland,A2FRC252 Cable Gland,,2
50810,Cable Gland shout 20,Cable Gland shout 20,,2
50811,Nakonechnik,Nakonechnik,,2
50812,Heat shrinkable Red,Heat shrinkable Red,,2
50813,Heat shrinkable black,Heat shrinkable black,,2
50814,XLPE/PVC/SWA/PVC 2C+E,XLPE/PVC/SWA/PVC 2C+E,,2
50815,Steel conduit,Steel conduit,,2
50816,ASTM A269 TP304 Welded An,"ASTM A269 TP304 Welded Annealed Tube 1/2""O.D x 0.035""THK",,2
50817,,"ASTM A269 TP304 Welded Annealed Tube 1/2""O.D x 0.035""THK",,2
50818,Mobil DTE Oil Heavy ISO V,Mobil DTE Oil Heavy ISO VG 100,,2
50819,"Stem, plug ","Stem, plug ",,2
50823,ASTM A269 TP304 Welded An,"ASTM A269 TP304 Welded Annealed Tube 1/2""O.D x 0.035""THK ",,2
