Asset ID,Catalogue Number,Catalogue Description,User Defined Text Box1,UOMDescription,Total Quantity Reserved,Stock On Hand
128013,WIM0000001,120-PC-003A/B/ TSP 4X2-9/ Mechanical SEAL,3284,Set,0.0000000,1.0000000
128014,WIM0000002,"GASKET C.A.F THK.2 ММ. FOR 120-HF-101/201 Euro 21,76/Ea",2179,Each,0.0000000,50.0000000
128015,WIM0000003,"GASKET C.A.F THK.2 ММ. FOR 120-HF-101/201 Euro 36,26/Ea",2180,Each,0.0000000,20.0000000
128016,WIM0000004,"GASKET CERAMIC FIBER ROPE FOR 120-HF-101/201 Euro 36,26 / МТ",2178,Each,0.0000000,20.0000000
128017,WIM0000005,"Mechanical Seal_F4724, Oil Pump / Мех упл-е F4724, маc-й насос, Material Specific./ Матер-я спец: PTFE ID №2-472-012-999-00, Eq-t: 135-XP-003-PG-63A/B",4733,Each,0.0000000,1.0000000
128018,WIM0000006,"Mechanical Seal_G4724, Oil Pump/Мех. уп-е, мас-й насос, Mater. Specific/PTFE ID№2-472-012-999-00, Eq-t/Об-е: 135-XP-003-PG-52A/B, 135-XP-003-PG-62A/B, 135-XP-003-PG-72A/B",4729,Each,0.0000000,3.0000000
128019,WIM0000007,"Mechanical Seal_KK4127A, Oil Pump / Мех.упл-е маc-й насос, Matю Spec: Viton Cartridge Seal ID number №: 2-477-912-999-00, Equip-t №135-XP-003-PG-51A/B, 135-XP-003-PG-71A/B",4727,Each,0.0000000,2.0000000
128020,WIM0000008,"Mechanical Seal_LS4127A, Oil Pump / Мех. уп-е маc-й насос, Mater. Specific/Viton Cartridge Seal /ID number: 2-478-383-999-00 Equipment 135-XP-003-PG-61A/B",4731,Each,0.0000000,1.0000000
128021,WIM0000009,"Operating Central fuel gas tip (1 set composed by 1 PCE) DIA 2""MAT.AISI 310 FOR 120-HF-101/201 Euro 586,23/set)",2181,Set,0.0000000,12.0000000
128022,WIM0000010,"Operating Central fuel gas tip (NR.1 set composed by 1 PCE) DIA 1.1/2"" MAT.AISI 310 FOR 120-HF-101/201 Euro 586,23/set)",2182,Set,0.0000000,11.0000000
128023,WIM0000011,"Operating staged  gas tip (NR.01 set composed by NR.02 PCS) DIA 1/2"" MAT.AISI 310 FOR 150-HF-001 Euro 977,06/set)",2183,Set,0.0000000,10.0000000
128024,WIM0000012,"Operating Staged gas tip (NR.01 SET composed by NR.02 PCS) DIA 1/2"" MAT.AISI 310 FOR 150-HF-003 Euro 977,06/ set",2185,Set,0.0000000,10.0000000
128846,WIM0000834,40' Контейнер б/у VVRU 4268796,657,Each,0.0000000,0.0000000
128847,WIM0000835,"Chain Block TOYO 5 ton X 3 meters/ Подъемный цепной блок, ручной, стальной 5 тонн Х 3 метра",1201,Each,0.0000000,0.0000000
128848,WIM0000836,"Chain Block TOYO 5 ton X 6 meters/ Подъемный цепной блок, ручной, стальной 5 тонн Х 6 метра",1202,Each,0.0000000,0.0000000
128850,WIM0000838,"Lever Block TOYO 1,5 ton X 3 meters/ Таль рычажная цепная, стальная 1,5 тонн Х 3 метра",1205,Each,0.0000000,4.0000000
128851,WIM0000839,"Lever Block TOYO 10 ton X 3 meters/ Таль рычажная цепная, стальная 10 тонн Х 3 метра",1203,Each,0.0000000,1.0000000
128852,WIM0000840,"Lever Block TOYO 10 ton X 6 meters/ Таль рычажная цепная, стальная 10 тонн Х 6 метра",1204,Each,0.0000000,1.0000000
128853,WIM0000841,"Lever Block TOYO 3 ton X 3 meters/ Таль рычажная цепная, стальная 3 тонн Х 3 метра",1206,Each,0.0000000,4.0000000
128854,WIM0000842,"Lever Block TOYO 6 ton X 3 meters/ Таль рычажная цепная, стальная 6 тонн Х 3 метра",1207,Each,0.0000000,4.0000000
128858,WIM0000846,"Wire Rope W' TOHO Tirfor 0.8-ton x 20 meters/ Лебедка ручная рычажная 0,8 тонн, 20 метров",1208,Each,0.0000000,5.0000000
128859,WIM0000847,"Беспроводной Set для капсульного тестирования дымовых, тепловых и газовых извещателей.(зарядное устройство,батареи в компл.,без Eachанги) TESTIFIRE 2001-001",2459,Set,0.0000000,1.0000000
128860,WIM0000848,Вакуумный насос VALUE VE-280 N FY-4N-C / Vacuum pump FY-4N-C,4273,Each,0.0000000,1.0000000
128861,WIM0000849,"Гидравлический динамометрический ключ с насосам, Модель: 2400КГМ крутящий момент: 23124 Nm размер гайки 50 мм до 100 мм",993,Set,0.0000000,0.0000000
128862,WIM0000850,"Гидравлический динамометрический ключ с насосам, Модель: ГГ1600М крутящий момент: 14349 Nm размер гайки 70 мм до 115 мм",992,Set,0.0000000,1.0000000
128863,WIM0000851,"Гидравлический динамометрический ключ с насосам, Модель: ГКГ1800 крутящий момент: 15000 Nm размер при-соед. Квадрата 1 1/2"" дюймы",991,Set,0.0000000,1.0000000
128865,WIM0000853,Гидравлический ключ для насоса,3082,Each,0.0000000,1.0000000
128866,WIM0000854,"Кабельный принтер Т1000С-PROMARK в Setе: - Риббон в касс, черн, 100м д/принтеров Partex, cтандарт - 5 Each",2454,Set,0.0000000,1.0000000
128867,WIM0000855,Калибратор петли тока Fluke 707,2094,Each,0.0000000,3.0000000
128870,WIM0000858,Консольный кран управление с пола 1 тонн,2916,Each,0.0000000,1.0000000
128871,WIM0000859,"Ножницы гидравлические комбинированные силовые (разжим-кусачки), усилие разжима, не менее, тс 1,3 (12,7), величина разжима, не менее, мм 310 Габаритны",998,Each,0.0000000,1.0000000
128872,WIM0000860,Нутрометр 2т 50-150/0.01 в наборе НМ MITUTOYO (137-206) + Нутрометр микрометр. 1000-4000/0.01мм с удленителем MITUTOYO (140-159),1633,Each,0.0000000,1.0000000
128885,WIM0000873,Опрессовочный насос MGF Компакт электро,2905,Each,0.0000000,2.0000000
128886,WIM0000874,"Переносная мачта осветительная ПМО-5,0(Л)-2x70 LED EX+ тележка на колесах",3018,Each,0.0000000,0.0000000
128892,WIM0000880,"Портативный лазерный виброметр ""VibroGo VGO-200"" модели Sonic с электроникой цифрового декодера + Программный комплекс сбора данных VibSoft-VL",3070,Each,0.0000000,1.0000000
128895,WIM0000883,"ПРОКЛАДКА ТИПА КАММПРОФИЛЬ ""КОНВЕКС"" (t4 x OD1074 x ID994)",3203,Each,0.0000000,2.0000000
128896,WIM0000884,"Разжим средний гидравлический, силовой с грузоподьемностью на 10 тонн, длина 8-10 метров",997,Set,0.0000000,2.0000000
128899,WIM0000887,СПИРАЛЬНАЯ НАВИТАЯ ПРОКЛАДКА (t4.5 x OD775 x ID749),3202,Each,0.0000000,6.0000000
128900,WIM0000888,"Станция сбора фреона VALUE VRP-24L-OS / VALUE VRR-24L-OS с маслоотделителем 230 В/50 Гц (Eachекер Au и Nz) Совместимость с хладагентом 12, 22,134а, 407С, 410А, 500, 502, HP, MP",2028,Set,0.0000000,1.0000000
128901,WIM0000889,Уровень брусковый 300/0.02 DIN877/1a STIEFELMAYER (468800 300/1),1605,Each,0.0000000,1.0000000
128909,WIM0000897,Шестигранные кассеты для гидравлических динамометрических ключей 2400КГМ.Макс. Крутящий момент-23124 Нм. Масса-16 кг.,995,Set,0.0000000,0.0000000
128910,WIM0000898,"Шестигранные кассеты для гидравлических динамометрических ключей ГКГ1800,Макс. Крутящий момент-14349 Нм. Масса-11,5 кг.",994,Set,0.0000000,1.0000000
128911,WIM0000899,Штангенрейсмасс 0-300/0.005 эл. MITUTOYO (445152 300/192-613-10),1616,Each,0.0000000,1.0000000
128912,WIM0000900,Штангенрейсмасс 0-600/0.005 эл. MITUTOYO (445152 600/192-614-10),1617,Each,0.0000000,1.0000000
128913,WIM0000901,Электрический плунжерный насос для гидр. испитанийPINFL DF 18,3081,Each,0.0000000,2.0000000
128920,WIM0000908,FTCATALYST(SOLID) CUSTOM SAC2 - 100 SBC. Eighteenth Batch,01-018,Kg,0.0000000,31973.0000000
128921,WIM0000909,FTCATALYST(SOLID) CUSTOM SAC 2- 100 SBC. Eighth Batch,01-008,Kg,0.0000000,32185.0000000
128922,WIM0000910,FTCATALYST(SOLID) CUSTOM SAC2 - 100 SBC. Eleventh Batch,01-011,Kg,0.0000000,0.0000000
128923,WIM0000911,FTCATALYST(SOLID) CUSTOM SAC2 - 100 SBC. Fifteenth Batch,01-015,Kg,0.0000000,63976.0000000
128925,WIM0000913,FTCATALYST(SOLID) CUSTOM SAC2 - 100 SBC. Fourteenth Batch,01-014,Kg,0.0000000,15977.0000000
128927,WIM0000915,FTCATALYST(SOLID) CUSTOM SAC2 - 100 SBC. Nineteenth Batch,01-019,Kg,0.0000000,32050.0000000
128928,WIM0000916,FTCATALYST(SOLID) CUSTOM SAC 2- 100 SBC. Ninth Batch,01-009,Kg,0.0000000,32128.0000000
128929,WIM0000917,FTCATALYST(SOLID) CUSTOM SAC2 - 100 SBC. Seventeenth Batch,01-017,Kg,0.0000000,64200.0000000
128930,WIM0000918,FTCATALYST(SOLID) CUSTOM SAC 2- 100 SBC. Seventh Batch,01-007,Kg,0.0000000,32135.0000000
128931,WIM0000919,FTCATALYST(SOLID) CUSTOM SAC2 - 100 SBC. Sixteenth Batch,01-016,Kg,0.0000000,96161.0000000
128932,WIM0000920,FTCATALYST(SOLID) CUSTOM SAC 2- 100 SBC. Sixth Batch,01-006,Kg,0.0000000,0.0000000
128933,WIM0000921,FTCATALYST(SOLID) CUSTOM SAC2 - 100 SBC. Tenth Batch,01-010,Kg,0.0000000,0.0000000
128934,WIM0000922,FTCATALYST(SOLID) CUSTOM SAC2 - 100 SBC. Thirteenth Batch,01-013,Kg,0.0000000,0.0000000
128935,WIM0000923,FTCATALYST(SOLID) CUSTOM SAC2 - 100 SBC. Twelfth Batch,01-012,Kg,0.0000000,0.0000000
128936,WIM0000924,FTCATALYST(SOLID) CUSTOM SAC2 - 100 SBC. Twentieth batch,01-020,Kg,0.0000000,32055.0000000
128937,WIM0000925,FTCATALYST(SOLID) CUSTOM SAC2 - 100 SBC. Twenty-first batch,01-021,Kg,0.0000000,79960.0000000
128938,WIM0000926,FTCATALYST(SOLID) CUSTOM SAC2 - 100 SBC. Twenty-four batch,01-024,Kg,0.0000000,31998.0000000
128939,WIM0000927,FTCATALYST(SOLID) CUSTOM SAC2 - 100 SBC. Twenty-second batch,01-022,Kg,0.0000000,63933.0000000
128940,WIM0000928,FTCATALYST(SOLID) CUSTOM SAC2 - 100 SBC. Twenty-third batch,01-023,Kg,0.0000000,48142.0000000
128941,WIM0000929,Siliporite NK 10 Молекулярное сито,2931,Tonn,0.0000000,2.0000000
128942,WIM0000930,"Азот (N2) 6.0 (99,9999%) в баллоне 50л 200бар, соединение G3/4(DIN 9)",1855,Each,0.0000000,0.0000000
128943,WIM0000931,"Аргон (Аr) 6.0 (99,9999%) в баллоне 50л 200бар, соединение G3/4(DIN 9)",1854,Each,0.0000000,0.0000000
128944,WIM0000932,"Водород (Н2) марка Б 6.0 (99,9999%) в баллоне 40л, 150бар, соединение W21,6x1/14""LH (DIN 1)",1859,Each,0.0000000,10.0000000
128945,WIM0000933,"Воздух ПНГ О2 (21%) + N2, в баллоне 50л 200бар, соединение G3/4(DIN 9)",1857,Each,0.0000000,8.0000000
128946,WIM0000934,"Гелий (Не) марка 6.0 (99,9999%) в баллоне 40л, 150бар, соединение G3/4(DIN 9)",1858,Each,0.0000000,0.0000000
128948,WIM0000936,"Кислород (О2) 3.5 (99,95%) в баллоне 50л 200бар, соединение G3/4(DIN 9)",1856,Each,0.0000000,4.0000000
